Test_Date,Device_Name,Brand,Model,Category,Price_USD,Battery_Life_Hours,Heart_Rate_Accuracy_Percent,Step_Count_Accuracy_Percent,Sleep_Tracking_Accuracy_Percent,Water_Resistance_Rating,User_Satisfaction_Rating,GPS_Accuracy_Meters,Connectivity_Features,Health_Sensors_Count,App_Ecosystem_Support,Performance_Score
6/1/2025,Huawei Watch Ultimate,Huawei,Watch Ultimate,Smartwatch,715.35,27.2,93.9,94.6,82.61,5ATM,8.4,4.2,"WiFi, Bluetooth, NFC",11,Cross-platform,60.3
6/1/2025,Fitbit Charge 6,Fitbit,Charge 6,Fitness Tracker,185.56,150.5,89.15,93.79,74.24,3ATM,6.5,,Bluetooth,8,Cross-platform,68
6/1/2025,Amazfit GTR 4,Amazfit,GTR 4,Sports Watch,87.52,185.8,95.77,94.36,78.72,5ATM,6.4,2.6,Bluetooth,9,Cross-platform,60.4
6/1/2025,Apple Watch Ultra 2,Apple,Watch Ultra 2,Smartwatch,755.34,25.7,94.87,97.52,82.51,IPX8,8.4,4.1,"WiFi, Bluetooth, NFC",13,iOS,60.9
6/1/2025,Garmin Forerunner 965,Garmin,Forerunner 965,Smartwatch,314.67,459.6,93.1,98.61,81.56,5ATM,7.5,3.8,"WiFi, Bluetooth, NFC, LTE",14,Cross-platform,62.2
6/1/2025,Huawei Watch GT 5,Huawei,Watch GT 5,Smartwatch,703.92,71.7,93.48,96.28,76.98,IP68,9.2,1.9,"WiFi, Bluetooth, NFC, LTE",10,Android/iOS,63.3
6/1/2025,Withings ScanWatch 2,Withings,ScanWatch 2,Sports Watch,363.27,82,93.27,95.67,71.92,IP68,7.4,2,"Bluetooth, WiFi",8,Cross-platform,59.4
6/1/2025,Fitbit Versa 4,Fitbit,Versa 4,Sports Watch,129.98,177.8,97.15,94.58,74.46,IP68,7.5,2.8,"Bluetooth, WiFi",5,Cross-platform,61.7
6/1/2025,Garmin Venu 3,Garmin,Venu 3,Smartwatch,611,368.4,95.26,98.03,75.45,IP68,8.4,3.3,"WiFi, Bluetooth, NFC, LTE",10,Cross-platform,63.3
6/1/2025,WHOOP 4.0,WHOOP,4,Fitness Band,30,145.9,88.45,95.14,72.3,IPX4,7.2,,Bluetooth,5,Android/iOS,69.1
6/1/2025,Samsung Galaxy Watch 7,Samsung,Galaxy Watch 7,Smartwatch,379.85,29,97.1,96.91,79.74,5ATM,8.4,1.7,"WiFi, Bluetooth, NFC",10,Android/iOS,62.4
6/1/2025,Oura Ring Gen 4,Oura,Ring Gen 4,Smart Ring,458.01,189.4,87.3,96.78,91.48,IPX8,8.6,,Bluetooth,3,Android/iOS,76.3
6/1/2025,Garmin Instinct 2X,Garmin,Instinct 2X,Smartwatch,345.3,644.7,94.51,99.21,76.79,5ATM,8.3,2,"WiFi, Bluetooth, NFC",10,Cross-platform,64.3
6/1/2025,WHOOP 4.0,WHOOP,4,Fitness Band,30,167.4,88.86,95.57,71.45,IPX7,7.4,,Bluetooth,4,Android/iOS,70
6/1/2025,Samsung Galaxy Watch FE,Samsung,Galaxy Watch FE,Smartwatch,476.23,36.3,94.19,96.6,83.18,5ATM,9.2,1.6,"WiFi, Bluetooth, NFC",15,Android/iOS,64
6/1/2025,Amazfit Band 7,Amazfit,Band 7,Fitness Tracker,70.61,114.5,88.96,96.7,76.45,IPX7,7.5,,"Bluetooth, WiFi",6,Android/iOS,70.1
6/1/2025,Garmin Forerunner 965,Garmin,Forerunner 965,Sports Watch,821.15,512.5,96.54,98.26,78.56,IPX8,9.2,3.3,Bluetooth,10,Cross-platform,65.4
6/1/2025,Fitbit Versa 4,Fitbit,Versa 4,Sports Watch,322.69,223.1,92.67,94.77,75.42,IPX8,7,1.5,Bluetooth,8,Cross-platform,61.1
6/1/2025,Amazfit GTR 4,Amazfit,GTR 4,Sports Watch,181.53,190.6,92.14,96.69,75.58,IP68,7.7,3.1,"Bluetooth, WiFi",8,Android/iOS,61.5
6/1/2025,WHOOP 4.0,WHOOP,4,Fitness Band,30,138.4,88.4,95.44,70.37,IPX7,6.8,,Bluetooth,5,Android/iOS,67.7
6/1/2025,Garmin Forerunner 965,Garmin,Forerunner 965,Smartwatch,849.32,537.9,97.43,98.67,84.31,5ATM,9.2,2.9,"WiFi, Bluetooth, NFC, LTE",13,Cross-platform,66.8
6/1/2025,Fitbit Sense 2,Fitbit,Sense 2,Sports Watch,268.04,134.4,97.36,93.33,73.18,IPX8,7.6,4.7,Bluetooth,9,Cross-platform,59.5
6/1/2025,Polar Vantage V3,Polar,Vantage V3,Smartwatch,433.15,46.3,95.41,93.69,83.75,5ATM,9.3,2.4,"WiFi, Bluetooth, NFC",13,Cross-platform,63.6
6/1/2025,Fitbit Inspire 4,Fitbit,Inspire 4,Fitness Tracker,293.02,229.7,94.79,95.9,70.7,IPX4,7.2,,Bluetooth,9,Cross-platform,70.7
6/1/2025,Fitbit Inspire 4,Fitbit,Inspire 4,Fitness Tracker,161.99,200.9,92.2,95.87,73.63,IPX7,6.2,,"Bluetooth, WiFi",6,Cross-platform,68.7
6/1/2025,Samsung Galaxy Watch Ultra,Samsung,Galaxy Watch Ultra,Smartwatch,626.27,57.8,92.41,96.87,82.39,IP68,8.4,3,"WiFi, Bluetooth, NFC",15,Android/iOS,61.8
6/1/2025,Apple Watch Series 10,Apple,Watch Series 10,Smartwatch,636.18,48,92.84,97.91,80.31,IPX8,9,2.8,"WiFi, Bluetooth, NFC, LTE",8,iOS,62.6
6/1/2025,Garmin Fenix 8,Garmin,Fenix 8,Sports Watch,338.81,610.6,96.4,98.44,74.65,10ATM,7.6,3.3,Bluetooth,9,Cross-platform,62
6/1/2025,Garmin Instinct 2X,Garmin,Instinct 2X,Smartwatch,343.6,282.9,96.84,98.15,78.68,IPX8,7.2,4.2,"WiFi, Bluetooth, NFC, LTE",10,Cross-platform,61.5
6/1/2025,Huawei Watch 5,Huawei,Watch 5,Smartwatch,523.45,28.5,97.58,95.3,77.61,IPX8,8.8,3.5,"WiFi, Bluetooth, NFC, LTE",13,Android/iOS,61.3
6/1/2025,Huawei Watch GT 5,Huawei,Watch GT 5,Smartwatch,642.69,40.2,93.43,95.97,81.55,IP68,8.5,1.5,"WiFi, Bluetooth, NFC",9,Cross-platform,62.5
6/1/2025,Huawei Band 9,Huawei,Band 9,Smartwatch,645.68,68.7,96.49,95.08,79.5,5ATM,8.3,1.6,"WiFi, Bluetooth, NFC, LTE",12,Android/iOS,62.6
6/1/2025,Garmin Fenix 8,Garmin,Fenix 8,Sports Watch,433.83,700.4,97.96,98.36,79.73,10ATM,8.9,2.9,Bluetooth,9,Cross-platform,65.6
6/1/2025,Fitbit Versa 4,Fitbit,Versa 4,Smartwatch,124.76,55.4,95.06,94.67,76.38,IPX8,6.8,3.2,"WiFi, Bluetooth, NFC, LTE",10,Cross-platform,58
6/1/2025,Polar Pacer Pro,Polar,Pacer Pro,Sports Watch,247.9,139.1,93.12,93.48,75.94,IPX8,7,5,"Bluetooth, WiFi",10,Cross-platform,58.2
6/1/2025,Samsung Galaxy Watch FE,Samsung,Galaxy Watch FE,Smartwatch,390.1,69.9,95.67,97.56,77.27,5ATM,7.9,3,"WiFi, Bluetooth, NFC",13,Android/iOS,61
6/1/2025,Fitbit Versa 4,Fitbit,Versa 4,Sports Watch,295.29,139.2,95.09,95.84,74.51,5ATM,7.6,4.2,Bluetooth,5,Cross-platform,60.2
6/1/2025,Huawei Watch 5,Huawei,Watch 5,Smartwatch,120.14,56.8,95.55,95.75,81.65,5ATM,7.3,2.3,"WiFi, Bluetooth, NFC",8,Android/iOS,60.6
6/1/2025,Samsung Galaxy Watch Ultra,Samsung,Galaxy Watch Ultra,Smartwatch,477.07,21.8,93.81,97.15,80.91,5ATM,8.9,3.4,"WiFi, Bluetooth, NFC, LTE",14,Android/iOS,61.6
6/1/2025,Polar Vantage V3,Polar,Vantage V3,Sports Watch,354.08,159.9,95.66,93.98,76.31,IP68,8.4,1.8,Bluetooth,9,Cross-platform,63.6
6/1/2025,Withings Steel HR,Withings,Steel HR,Sports Watch,204.63,155.6,95.92,93,70.38,IPX8,7.4,4,"Bluetooth, WiFi",9,Android/iOS,59.3
6/1/2025,Polar Vantage V3,Polar,Vantage V3,Sports Watch,329.82,213.8,96.69,96.14,75.4,5ATM,7.6,3.9,"Bluetooth, WiFi",5,Cross-platform,61.4
6/1/2025,Oura Ring Gen 4,Oura,Ring Gen 4,Smart Ring,446.11,177.7,90.95,94.15,89.27,IPX7,8.5,,Bluetooth,5,Cross-platform,75.9
6/1/2025,Oura Ring Gen 4,Oura,Ring Gen 4,Smart Ring,498.98,190.7,90.66,96.76,85.46,IPX8,8.1,,Bluetooth,6,Android/iOS,74.8
6/1/2025,Amazfit GTR 4,Amazfit,GTR 4,Sports Watch,161.11,235.9,95.2,93.49,70.25,IPX8,7.5,4.8,"Bluetooth, WiFi",6,Android/iOS,59.1
6/1/2025,Oura Ring Gen 4,Oura,Ring Gen 4,Smart Ring,539.39,188.1,86.2,93.44,91.22,IPX7,8.1,,Bluetooth,6,Android/iOS,74.4
6/1/2025,Garmin Instinct 2X,Garmin,Instinct 2X,Smartwatch,445.47,712.4,96.57,98.45,79.59,IP68,9.5,4.2,"WiFi, Bluetooth, NFC, LTE",13,Cross-platform,65.5
6/1/2025,Fitbit Charge 6,Fitbit,Charge 6,Fitness Tracker,251.31,132.2,88.94,96.59,74.85,IPX7,7.8,,Bluetooth,8,Cross-platform,70.8
6/1/2025,Oura Ring Gen 4,Oura,Ring Gen 4,Smart Ring,402.35,185.6,91.72,96.17,88.6,IPX7,9.5,,Bluetooth,4,Cross-platform,78.3
6/1/2025,Fitbit Versa 4,Fitbit,Versa 4,Smartwatch,163.95,47.9,93.07,93.09,83.43,5ATM,6,3.9,"WiFi, Bluetooth, NFC",9,Cross-platform,56.6
6/1/2025,Garmin Instinct 2X,Garmin,Instinct 2X,Sports Watch,908.41,241,95.8,98.42,77.21,5ATM,9.4,3.1,Bluetooth,10,Cross-platform,65.5
6/1/2025,Fitbit Inspire 4,Fitbit,Inspire 4,Fitness Tracker,240.97,108.3,88.09,93.97,70.21,3ATM,7.7,,Bluetooth,9,Cross-platform,68.4
6/1/2025,WHOOP 4.0,WHOOP,4,Fitness Band,30,137.5,91.48,93.94,75.4,IPX4,7.9,,Bluetooth,3,Cross-platform,71.2
6/1/2025,Apple Watch Ultra 2,Apple,Watch Ultra 2,Smartwatch,262.36,47.4,97.9,96.49,81.14,5ATM,7.5,3.9,"WiFi, Bluetooth, NFC, LTE",10,iOS,60.1
6/1/2025,Amazfit T-Rex 3,Amazfit,T-Rex 3,Sports Watch,74.11,190.5,95.13,93.76,75.58,IP68,6.1,3.7,Bluetooth,6,Cross-platform,58.4
6/1/2025,Amazfit GTS 4,Amazfit,GTS 4,Sports Watch,292.77,222.8,94.25,96.77,72.94,5ATM,7.2,1.7,"Bluetooth, WiFi",9,Android/iOS,61.5
6/1/2025,Huawei Watch 5,Huawei,Watch 5,Smartwatch,114.77,64.8,94.53,94.42,78.08,IPX8,6.7,2.5,"WiFi, Bluetooth, NFC",15,Android/iOS,58.6
6/1/2025,Polar Vantage V3,Polar,Vantage V3,Sports Watch,289.07,206.6,93.05,95.82,70.25,IP68,7.7,2.7,"Bluetooth, WiFi",10,Cross-platform,60.9
6/1/2025,Garmin Instinct 2X,Garmin,Instinct 2X,Sports Watch,861.58,667,94.62,98.22,73.53,5ATM,8.8,4.4,Bluetooth,8,Cross-platform,62.8
6/1/2025,Amazfit Band 7,Amazfit,Band 7,Fitness Tracker,105.27,139.9,93.3,94.15,79.25,IPX4,7.8,,Bluetooth,7,Android/iOS,72.3
6/1/2025,Withings Steel HR,Withings,Steel HR,Sports Watch,414.49,78.7,95.88,94.76,74.61,IP68,8.1,2.9,"Bluetooth, WiFi",10,Cross-platform,60.7
6/1/2025,Samsung Galaxy Watch 7,Samsung,Galaxy Watch 7,Smartwatch,347.12,37.5,93.81,97.77,76.27,5ATM,8.5,3.4,"WiFi, Bluetooth, NFC, LTE",10,Android/iOS,60.6
6/1/2025,Samsung Galaxy Watch FE,Samsung,Galaxy Watch FE,Smartwatch,211.12,69.8,92.58,96.08,76.41,5ATM,7.5,2.9,"WiFi, Bluetooth, NFC, LTE",9,Android/iOS,59.5
6/1/2025,Withings Steel HR,Withings,Steel HR,Sports Watch,462.18,123.4,96.12,95.77,74.22,IP68,8.1,4.2,Bluetooth,5,Android/iOS,60.8
6/1/2025,Amazfit Band 7,Amazfit,Band 7,Fitness Tracker,100.81,123,94.48,93.36,70.49,3ATM,7.3,,Bluetooth,6,Android/iOS,69.2
6/1/2025,Polar Vantage V3,Polar,Vantage V3,Smartwatch,282.53,69.8,97.69,94.19,84.01,IPX8,8.3,3.1,"WiFi, Bluetooth, NFC",12,Cross-platform,62.5
6/1/2025,Fitbit Sense 2,Fitbit,Sense 2,Sports Watch,203.46,113.1,96.45,96.89,73.59,IP68,7.1,4.7,Bluetooth,5,Cross-platform,58.8
6/1/2025,Fitbit Charge 6,Fitbit,Charge 6,Fitness Tracker,219.31,192.3,92.91,94.68,74.49,IPX7,8.2,,Bluetooth,6,Cross-platform,72.8
6/2/2025,Samsung Galaxy Watch Ultra,Samsung,Galaxy Watch Ultra,Smartwatch,291.19,39.5,94.97,96.19,79.22,5ATM,8.3,3.1,"WiFi, Bluetooth, NFC, LTE",8,Android/iOS,60.9
6/2/2025,Huawei Watch GT 5,Huawei,Watch GT 5,Smartwatch,778.54,65.4,96.58,96.6,80.07,IPX8,8.6,2.4,"WiFi, Bluetooth, NFC, LTE",8,Android/iOS,62.9
6/2/2025,Garmin Venu 3,Garmin,Venu 3,Sports Watch,344.52,513.5,93.47,98.83,79.43,IPX8,7.4,4.4,"Bluetooth, WiFi",10,Cross-platform,61.4
6/2/2025,Garmin Venu 3,Garmin,Venu 3,Smartwatch,317,381.6,92.37,98.67,81.19,5ATM,7.2,4.7,"WiFi, Bluetooth, NFC",12,Cross-platform,60.9
6/2/2025,Amazfit T-Rex 3,Amazfit,T-Rex 3,Sports Watch,155.48,117.3,97.68,95.17,77.94,IP68,6.2,4.6,"Bluetooth, WiFi",5,Cross-platform,58.1
6/2/2025,Apple Watch Ultra 2,Apple,Watch Ultra 2,Smartwatch,288.37,52.1,92.41,96.38,77.19,IPX8,7.6,3.7,"WiFi, Bluetooth, NFC, LTE",15,iOS,58.9
6/2/2025,Amazfit GTS 4,Amazfit,GTS 4,Smartwatch,244.18,33,92.37,94.55,84.96,IPX8,8.4,2.4,"WiFi, Bluetooth, NFC",15,Android/iOS,61.7
6/2/2025,Apple Watch SE 3,Apple,Watch SE 3,Smartwatch,258.76,68.7,95.94,98.09,84.5,IP68,7.2,4.9,"WiFi, Bluetooth, NFC",10,iOS,59.9
6/2/2025,Withings ScanWatch 2,Withings,ScanWatch 2,Sports Watch,396.21,167,93.9,94.04,76.7,IPX8,7.4,2.9,Bluetooth,7,Cross-platform,61.2
6/2/2025,Amazfit GTS 4,Amazfit,GTS 4,Sports Watch,78.79,119.9,92.17,95.41,76.51,IP68,7.5,2.2,Bluetooth,8,Android/iOS,60.8
6/2/2025,WHOOP 4.0,WHOOP,4,Fitness Band,30,130.3,85.39,95.26,77.29,IPX4,7.3,,Bluetooth,5,Cross-platform,69.3
6/2/2025,Garmin Instinct 2X,Garmin,Instinct 2X,Sports Watch,903.67,468.2,95.45,98.42,70.81,5ATM,9.2,3.1,Bluetooth,8,Cross-platform,64
6/2/2025,Oura Ring Gen 4,Oura,Ring Gen 4,Smart Ring,484.36,185,86.66,96.2,87.28,IPX8,8.2,,Bluetooth,4,Android/iOS,74.4
6/2/2025,Samsung Galaxy Watch 7,Samsung,Galaxy Watch 7,Smartwatch,671.53,55.3,92.89,96.09,78.69,IP68,8.2,1.9,"WiFi, Bluetooth, NFC",8,Android/iOS,61.4
6/2/2025,Huawei Watch Ultimate,Huawei,Watch Ultimate,Smartwatch,159.47,42.7,94.21,94.17,82.85,IP68,7.2,3.1,"WiFi, Bluetooth, NFC, LTE",15,Android/iOS,59.3
6/2/2025,Garmin Instinct 2X,Garmin,Instinct 2X,Smartwatch,173.18,607.1,94.96,99.46,80.99,IPX8,7.2,3.5,"WiFi, Bluetooth, NFC, LTE",15,Cross-platform,62.2
6/2/2025,Polar Vantage V3,Polar,Vantage V3,Sports Watch,472.8,156.4,94.33,93.72,73.19,5ATM,8,4.3,Bluetooth,8,Cross-platform,60.4
6/2/2025,Apple Watch Series 10,Apple,Watch Series 10,Smartwatch,677.77,35.9,97.58,98.01,83.64,5ATM,8.4,4.3,"WiFi, Bluetooth, NFC",8,iOS,61.7
6/2/2025,Amazfit T-Rex 3,Amazfit,T-Rex 3,Smartwatch,107.55,38.1,95.38,95.03,78.41,IPX8,6.3,4.5,"WiFi, Bluetooth, NFC, LTE",15,Android/iOS,56.4
6/2/2025,Oura Ring Gen 4,Oura,Ring Gen 4,Smart Ring,348.89,190,87.45,96.28,91.1,IPX7,7,,Bluetooth,4,Cross-platform,73
6/2/2025,WHOOP 4.0,WHOOP,4,Fitness Band,30,160.9,85.32,96.84,72.66,IPX4,7.4,,Bluetooth,2,Cross-platform,69.6
6/2/2025,Amazfit GTR 4,Amazfit,GTR 4,Smartwatch,108.14,35.2,96.43,94.44,80.92,IP68,7.4,4.8,"WiFi, Bluetooth, NFC, LTE",11,Cross-platform,58.5
6/2/2025,Apple Watch SE 3,Apple,Watch SE 3,Smartwatch,424.32,65.9,94.98,97.72,84.05,IPX8,8.3,4.7,"WiFi, Bluetooth, NFC, LTE",11,iOS,61.5
6/2/2025,Garmin Enduro 3,Garmin,Enduro 3,Smartwatch,407.86,1604.7,92.71,98.12,81.93,5ATM,8,4.8,"WiFi, Bluetooth, NFC",8,Cross-platform,62.3
6/2/2025,Huawei Band 9,Huawei,Band 9,Smartwatch,557.7,63.8,92.63,93.52,84.17,IPX8,9.5,4.5,"WiFi, Bluetooth, NFC, LTE",14,Android/iOS,62.5
6/2/2025,Withings Steel HR,Withings,Steel HR,Smartwatch,366.9,30.5,92.88,93.53,82.01,5ATM,7.6,3.3,"WiFi, Bluetooth, NFC",12,Android/iOS,59.1
6/2/2025,WHOOP 4.0,WHOOP,4,Fitness Band,30,163.3,86.84,96.32,79.27,3ATM,6.6,,Bluetooth,3,Cross-platform,69.6
6/2/2025,Garmin Instinct 2X,Garmin,Instinct 2X,Smartwatch,882.33,692.2,93.95,98.93,80.11,IP68,9.1,2.8,"WiFi, Bluetooth, NFC, LTE",11,Cross-platform,65.5
6/2/2025,Polar Pacer Pro,Polar,Pacer Pro,Sports Watch,239.48,80.1,92.94,93.53,78.62,IPX8,7.9,2.5,Bluetooth,6,Cross-platform,60.6
6/2/2025,Apple Watch Series 10,Apple,Watch Series 10,Smartwatch,362.36,48,93.87,98.31,81.13,5ATM,7.1,2.9,"WiFi, Bluetooth, NFC",10,iOS,59.7
6/2/2025,Samsung Galaxy Watch FE,Samsung,Galaxy Watch FE,Smartwatch,524.96,60.7,95.71,97.06,78.35,IPX8,8.9,2.7,"WiFi, Bluetooth, NFC",13,Android/iOS,62.8
6/2/2025,Oura Ring Gen 4,Oura,Ring Gen 4,Smart Ring,329.51,188.6,87.3,94.66,86.47,IPX7,7.9,,Bluetooth,3,Android/iOS,73.5
6/2/2025,Fitbit Charge 6,Fitbit,Charge 6,Fitness Tracker,264.8,192.5,89.98,95.46,72.5,IPX7,7.3,,Bluetooth,7,Cross-platform,70.2
6/2/2025,Withings ScanWatch 2,Withings,ScanWatch 2,Sports Watch,246.38,153.5,97.71,95.4,78.29,5ATM,7.5,2.9,Bluetooth,6,Android/iOS,62.2
6/2/2025,WHOOP 4.0,WHOOP,4,Fitness Band,30,131,90.09,93.52,77.34,3ATM,7,,Bluetooth,2,Cross-platform,69.3
6/2/2025,Apple Watch SE 3,Apple,Watch SE 3,Smartwatch,288.19,18.6,94.98,96.87,80.17,IP68,7.4,2.8,"WiFi, Bluetooth, NFC, LTE",12,iOS,59.5
6/2/2025,Apple Watch Ultra 2,Apple,Watch Ultra 2,Smartwatch,664.96,20,92.44,96.44,77.52,5ATM,8.9,2.3,"WiFi, Bluetooth, NFC",14,iOS,61.4
6/2/2025,Polar Pacer Pro,Polar,Pacer Pro,Sports Watch,400.51,114.1,93.18,95.32,79.52,IPX8,8.2,3.8,Bluetooth,9,Cross-platform,61.4
6/2/2025,Polar Pacer Pro,Polar,Pacer Pro,Smartwatch,393.66,44.4,97.49,94.55,82.6,IP68,7.1,1.9,"WiFi, Bluetooth, NFC",10,Cross-platform,60.6
6/2/2025,WHOOP 4.0,WHOOP,4,Fitness Band,30,127.2,89.16,95.73,71.8,3ATM,7.6,,Bluetooth,2,Cross-platform,69.6
6/2/2025,Polar Vantage V3,Polar,Vantage V3,Sports Watch,211.63,90.1,97.03,95.57,70.99,5ATM,7.2,4.2,Bluetooth,10,Cross-platform,58.3
6/2/2025,Apple Watch Ultra 2,Apple,Watch Ultra 2,Smartwatch,512.3,49.8,95.99,97.12,83.82,IP68,8.9,2.3,"WiFi, Bluetooth, NFC",13,iOS,63.8
6/2/2025,WHOOP 4.0,WHOOP,4,Fitness Band,30,162.5,85.97,95.37,78.85,IPX4,7.6,,Bluetooth,3,Cross-platform,71.1
6/2/2025,Fitbit Sense 2,Fitbit,Sense 2,Smartwatch,114.74,19.8,96.77,93.65,78.23,IP68,7,4.5,"WiFi, Bluetooth, NFC",14,Cross-platform,57.2
6/2/2025,Amazfit Band 7,Amazfit,Band 7,Fitness Tracker,118.91,102.2,88.92,95.3,72.29,IPX4,7.4,,"Bluetooth, WiFi",9,Cross-platform,68.5
6/2/2025,Fitbit Inspire 4,Fitbit,Inspire 4,Fitness Tracker,201.36,169,89.88,94.66,74.52,3ATM,8.2,,"Bluetooth, WiFi",8,Cross-platform,72.2
6/2/2025,Samsung Galaxy Watch FE,Samsung,Galaxy Watch FE,Smartwatch,442.53,58,97.54,97.52,79.25,IPX8,8,1.5,"WiFi, Bluetooth, NFC",10,Android/iOS,62.5
6/2/2025,WHOOP 4.0,WHOOP,4,Fitness Band,30,136.2,90.51,94.66,75.31,IPX4,6.6,,Bluetooth,2,Cross-platform,68.5
6/2/2025,Samsung Galaxy Watch Ultra,Samsung,Galaxy Watch Ultra,Smartwatch,485.84,32.4,95.57,97.61,77.09,IP68,9.4,4.9,"WiFi, Bluetooth, NFC, LTE",15,Android/iOS,61.4
6/2/2025,Fitbit Inspire 4,Fitbit,Inspire 4,Fitness Tracker,299.54,145.4,89.75,95.86,76.46,IPX7,7.3,,Bluetooth,10,Cross-platform,70.5
6/2/2025,Withings Steel HR,Withings,Steel HR,Smartwatch,388.05,22.6,96.94,95.56,82.91,IPX8,8.1,2,"WiFi, Bluetooth, NFC",8,Cross-platform,61.9
6/2/2025,Polar Vantage V3,Polar,Vantage V3,Sports Watch,225.1,187.2,96.23,94.16,75.27,IP68,8.3,4.7,Bluetooth,7,Cross-platform,61.6
6/2/2025,Samsung Galaxy Watch FE,Samsung,Galaxy Watch FE,Smartwatch,373.65,35.2,94.04,96.1,82.13,IPX8,8.4,2.8,"WiFi, Bluetooth, NFC, LTE",8,Android/iOS,61.5
6/2/2025,Samsung Galaxy Watch Ultra,Samsung,Galaxy Watch Ultra,Smartwatch,211.7,50.9,94.33,96.05,79.6,IP68,8,3.8,"WiFi, Bluetooth, NFC",9,Android/iOS,60.1
6/2/2025,Samsung Galaxy Watch Ultra,Samsung,Galaxy Watch Ultra,Smartwatch,357.63,36.8,96.05,97.95,75.56,IP68,8.4,3.9,"WiFi, Bluetooth, NFC",15,Android/iOS,60.4
6/2/2025,Withings Steel HR,Withings,Steel HR,Smartwatch,216.93,52.8,96.21,96.17,76.26,5ATM,7.5,3.5,"WiFi, Bluetooth, NFC, LTE",13,Cross-platform,59.3
6/2/2025,Withings ScanWatch 2,Withings,ScanWatch 2,Smartwatch,474.19,45.7,95.06,94.65,79.65,IP68,8.9,2.4,"WiFi, Bluetooth, NFC",9,Android/iOS,62.4
6/2/2025,Samsung Galaxy Watch 7,Samsung,Galaxy Watch 7,Smartwatch,400.31,36.3,97.17,96.62,76.9,IPX8,8.2,2.1,"WiFi, Bluetooth, NFC",9,Android/iOS,61.4
6/2/2025,WHOOP 4.0,WHOOP,4,Fitness Band,30,132.3,85.42,93.8,76.97,IPX7,6.1,,Bluetooth,2,Android/iOS,66.6
6/2/2025,Huawei Watch GT 5,Huawei,Watch GT 5,Smartwatch,476.7,71.2,97.97,93.99,84.23,IP68,8.8,2.1,"WiFi, Bluetooth, NFC, LTE",8,Android/iOS,64
6/2/2025,Apple Watch SE 3,Apple,Watch SE 3,Smartwatch,366.49,38.9,98,98.48,84.44,IPX8,7.3,2.7,"WiFi, Bluetooth, NFC",10,iOS,61.3
